Vanus;Mehed;Naised;Asukoht
90+;1;1;Tallinna eeslinn
85-89;1;2;Tallinna eeslinn
80-84;1;3;Tallinna eeslinn
75-79;4;4;Tallinna eeslinn
70-74;4;4;Tallinna eeslinn
65-69;4;5;Tallinna eeslinn
60-64;4;5;Tallinna eeslinn
55-59;4;5;Tallinna eeslinn
50-54;5;5;Tallinna eeslinn
45-49;5;5;Tallinna eeslinn
40-44;10;9;Tallinna eeslinn
35-39;12;12;Tallinna eeslinn
30-34;9;10;Tallinna eeslinn
25-29;6;7;Tallinna eeslinn
20-24;5;3;Tallinna eeslinn
15-19;6;5;Tallinna eeslinn
10-14;7;6;Tallinna eeslinn
5-9;10;10;Tallinna eeslinn
0-4;9;9;Tallinna eeslinn
90+;2;6;Maa-alevik
85-89;4;5;Maa-alevik
80-84;2;6;Maa-alevik
75-79;1;3;Maa-alevik
70-74;2;5;Maa-alevik
65-69;5;6;Maa-alevik
60-64;10;7;Maa-alevik
55-59;11;7;Maa-alevik
50-54;8;11;Maa-alevik
45-49;5;3;Maa-alevik
40-44;4;3;Maa-alevik
35-39;8;4;Maa-alevik
30-34;11;5;Maa-alevik
25-29;8;8;Maa-alevik
20-24;5;6;Maa-alevik
15-19;4;5;Maa-alevik
10-14;4;1;Maa-alevik
5-9;4;5;Maa-alevik
0-4;5;4;Maa-alevik
