GRD_INSPIR_100;RAHVAARV_KOKKU;RAHVAARV_ELUHOONES;RAHVAARV_KESKUSES
100mN65855E05406;53;32;21
100mN64714E05299;25;25;0
100mN64714E05305;42;42;0
100mN64716E05306;38;38;0
100mN64722E05269;9;9;0
100mN64724E05272;29;29;0
100mN64729E05277;20;20;0
100mN64727E05278;21;21;0
100mN64728E05277;38;38;0
100mN64714E05310;30;30;0
100mN64719E05271;24;24;0
100mN64720E05269;22;22;0
100mN64725E05271;30;30;0
100mN64726E05272;22;22;0
100mN64726E05273;1;1;0
100mN64722E05281;38;38;0
100mN64727E05280;27;27;0
100mN64720E05281;61;61;0
100mN64717E05290;2;2;0
100mN64716E05295;66;66;0
100mN64718E05296;79;79;0
100mN64718E05294;3;3;0
100mN64719E05296;8;8;0
100mN64720E05296;2;2;0
100mN64724E05281;42;42;0
100mN64725E05283;37;37;0
100mN64725E05284;86;86;0
100mN64723E05289;124;124;0
100mN64731E05289;29;29;0
100mN64732E05290;26;26;0
100mN64731E05291;25;25;0
100mN64726E05290;28;28;0
100mN64727E05291;69;69;0
100mN64725E05294;34;34;0
100mN64724E05306;21;21;0
100mN64725E05306;16;16;0
100mN64725E05304;26;26;0
100mN64725E05308;9;9;0
100mN64733E05286;2;2;0
100mN64734E05288;22;22;0
100mN64735E05287;20;20;0
100mN64733E05292;25;25;0
100mN64734E05291;46;46;0
100mN64730E05283;18;18;0
100mN64730E05285;31;31;0
100mN64733E05293;24;24;0
100mN64720E05297;16;16;0
100mN64719E05300;62;62;0
100mN64720E05301;11;11;0
100mN64731E05282;26;26;0
100mN64738E05293;436;436;0
100mN64721E05309;6;6;0
100mN64724E05297;12;12;0
100mN64725E05301;7;7;0
100mN64732E05285;6;6;0
100mN64732E05287;2;2;0
100mN64728E05291;20;20;0
100mN64728E05292;20;20;0
100mN64726E05301;29;29;0
100mN64725E05303;7;7;0
100mN64727E05295;10;10;0
100mN64723E05310;40;40;0
100mN64722E05311;3;3;0
100mN64737E05290;35;35;0
100mN64735E05298;7;7;0
100mN64711E05302;33;33;0
100mN64690E05332;2;2;0
100mN64733E05303;1;1;0
100mN64733E05302;1;1;0
100mN64720E05311;5;5;0
100mN64715E05302;49;49;0
100mN64715E05303;30;30;0
100mN64721E05270;33;33;0
100mN64721E05272;29;29;0
100mN64699E05320;12;12;0
100mN64703E05309;23;23;0
100mN64674E05338;3;3;0
100mN64711E05306;46;46;0
100mN64718E05276;33;33;0
100mN64712E05302;67;67;0
100mN64723E05268;2;2;0
100mN64670E05339;16;16;0
100mN64672E05337;3;3;0
100mN64673E05339;14;14;0
100mN64684E05327;29;29;0
100mN64684E05328;18;18;0
100mN64682E05328;1;1;0
100mN64684E05329;42;42;0
100mN64675E05336;30;30;0
100mN64676E05336;16;16;0
100mN64676E05338;17;17;0
100mN64677E05338;32;32;0
100mN64679E05337;31;31;0
100mN64678E05339;9;9;0
100mN64693E05323;16;16;0
100mN64694E05323;11;11;0
