county,year,share_of_national_GDP
Harju county,1995,54.1
Harju county,2016,64
Hiiu county,1995,0.7
Hiiu county,2016,0.4
Ida-Viru county,1995,10.4
Ida-Viru county,2016,6.2
Jõgeva county,1995,1.5
Jõgeva county,2016,1.1
Järva county,1995,2
Järva county,2016,1.3
Lääne county,1995,1.6
Lääne county,2016,1
Lääne-Viru county,1995,3.7
Lääne-Viru county,2016,2.8
Põlva county,1995,1.5
Põlva county,2016,0.9
Pärnu county,1995,5.2
Pärnu county,2016,4.2
Rapla county,1995,1.8
Rapla county,2016,1.4
Saare county,1995,1.9
Saare county,2016,1.5
Tartu county,1995,9.9
Tartu county,2016,10.4
Valga county,1995,1.5
Valga county,2016,1.2
Viljandi county,1995,2.7
Viljandi county,2016,2.3
Võru county,1995,1.6
Võru county,2016,1.4
