county_est;county_eng;pop_percentage;pop_change;GDP95;GDP16
Saare maakond;Saare county;88;-12;1.9;1.5
Viljandi maakond;Viljandi county;77;-23;2.7;2.3
Hiiu maakond;Hiiu county;84;-16;0.7;0.4
Harju maakond;Harju county;106;6;54.1;64
Lääne maakond;L√§√§ne county;81;-19;1.6;1
Rapla maakond;Rapla county;89;-11;1.8;1.4
Lääne-Viru maakond;L√§√§ne-Viru county;84;-16;3.7;2.8
Ida-Viru maakond;Ida-Viru county;74;-26;10.4;6.2
Põlva maakond;P√µlva county;81;-19;1.5;0.9
Valga maakond;Valga county;80;-20;1.5;1.2
Tartu maakond;Tartu county;95;-5;9.9;10.4
Pärnu maakond;P√§rnu county;88;-12;5.2;4.2
Järva maakond;J√§rva county;75;-25;2;1.3
Võru maakond;V√µru county;79;-21;1.6;1.4
Jõgeva maakond;J√µgeva county;77;-23;1.5;1.1
