area,year,value,dp,value_total
Tallinn,1999,304,3571,30892
Harku vald,1999,0,772,1639
Jõelähtme vald,1999,1,515,560
Keila vald,1999,1,,257
Kiili vald,1999,0,309,598
Rae vald,1999,14,926,3905
Saku vald,1999,0,119,654
Saue vald,1999,0,329,1493
Viimsi vald,1999,3,664,4332
Pärnu linn,1999,26,3634,2331
Audru vald,1999,5,,191
Paikuse vald,1999,12,,298
Sauga vald,1999,33,,650
Tahkuranna vald,1999,12,,126
Tartu linn,1999,139,,5149
Haaslava vald,1999,0,,116
Luunja vald,1999,1,,1023
Nõo vald,1999,3,,89
Tartu vald,1999,5,,1272
Tähtvere vald,1999,2,,135
Ülenurme vald,1999,2,,1456
Tallinn,2000,424,3571,30892
Harku vald,2000,0,772,1639
Jõelähtme vald,2000,0,515,560
Keila vald,2000,0,,257
Kiili vald,2000,0,309,598
Rae vald,2000,5,926,3905
Saku vald,2000,0,119,654
Saue vald,2000,0,329,1493
Viimsi vald,2000,23,664,4332
Pärnu linn,2000,30,3634,2331
Audru vald,2000,4,,191
Paikuse vald,2000,4,,298
Sauga vald,2000,9,,650
Tahkuranna vald,2000,2,,126
Tartu linn,2000,59,,5149
Haaslava vald,2000,2,,116
Luunja vald,2000,0,,1023
Nõo vald,2000,0,,89
Tartu vald,2000,0,,1272
Tähtvere vald,2000,0,,135
Ülenurme vald,2000,11,,1456
Tallinn,2001,306,3571,30892
Harku vald,2001,0,772,1639
Jõelähtme vald,2001,9,515,560
Keila vald,2001,1,,257
Kiili vald,2001,0,309,598
Rae vald,2001,0,926,3905
Saku vald,2001,3,119,654
Saue vald,2001,0,329,1493
Viimsi vald,2001,4,664,4332
Pärnu linn,2001,71,3634,2331
Audru vald,2001,2,,191
Paikuse vald,2001,7,,298
Sauga vald,2001,11,,650
Tahkuranna vald,2001,3,,126
Tartu linn,2001,102,,5149
Haaslava vald,2001,1,,116
Luunja vald,2001,0,,1023
Nõo vald,2001,3,,89
Tartu vald,2001,0,,1272
Tähtvere vald,2001,3,,135
Ülenurme vald,2001,0,,1456
Tallinn,2002,624,3571,30892
Harku vald,2002,0,772,1639
Jõelähtme vald,2002,4,515,560
Keila vald,2002,0,,257
Kiili vald,2002,0,309,598
Rae vald,2002,0,926,3905
Saku vald,2002,1,119,654
Saue vald,2002,2,329,1493
Viimsi vald,2002,80,664,4332
Pärnu linn,2002,97,3634,2331
Audru vald,2002,9,,191
Paikuse vald,2002,26,,298
Sauga vald,2002,8,,650
Tahkuranna vald,2002,0,,126
Tartu linn,2002,102,,5149
Haaslava vald,2002,0,,116
Luunja vald,2002,0,,1023
Nõo vald,2002,3,,89
Tartu vald,2002,0,,1272
Tähtvere vald,2002,5,,135
Ülenurme vald,2002,0,,1456
Tallinn,2003,1287,3571,30892
Harku vald,2003,25,772,1639
Jõelähtme vald,2003,6,515,560
Keila vald,2003,8,,257
Kiili vald,2003,1,309,598
Rae vald,2003,16,926,3905
Saku vald,2003,5,119,654
Saue vald,2003,89,329,1493
Viimsi vald,2003,124,664,4332
Pärnu linn,2003,152,3634,2331
Audru vald,2003,7,,191
Paikuse vald,2003,14,,298
Sauga vald,2003,7,,650
Tahkuranna vald,2003,0,,126
Tartu linn,2003,242,,5149
Haaslava vald,2003,7,,116
Luunja vald,2003,1,,1023
Nõo vald,2003,5,,89
Tartu vald,2003,10,,1272
Tähtvere vald,2003,2,,135
Ülenurme vald,2003,7,,1456
Tallinn,2004,1479,3571,30892
Harku vald,2004,128,772,1639
Jõelähtme vald,2004,14,515,560
Keila vald,2004,20,,257
Kiili vald,2004,11,309,598
Rae vald,2004,69,926,3905
Saku vald,2004,12,119,654
Saue vald,2004,24,329,1493
Viimsi vald,2004,105,664,4332
Pärnu linn,2004,295,3634,2331
Audru vald,2004,8,,191
Paikuse vald,2004,10,,298
Sauga vald,2004,15,,650
Tahkuranna vald,2004,5,,126
Tartu linn,2004,247,,5149
Haaslava vald,2004,4,,116
Luunja vald,2004,0,,1023
Nõo vald,2004,3,,89
Tartu vald,2004,34,,1272
Tähtvere vald,2004,4,,135
Ülenurme vald,2004,37,,1456
Tallinn,2005,1695,3571,30892
Harku vald,2005,154,772,1639
Jõelähtme vald,2005,0,515,560
Keila vald,2005,8,,257
Kiili vald,2005,16,309,598
Rae vald,2005,252,926,3905
Saku vald,2005,14,119,654
Saue vald,2005,38,329,1493
Viimsi vald,2005,476,664,4332
Pärnu linn,2005,412,3634,2331
Audru vald,2005,5,,191
Paikuse vald,2005,18,,298
Sauga vald,2005,19,,650
Tahkuranna vald,2005,5,,126
Tartu linn,2005,336,,5149
Haaslava vald,2005,0,,116
Luunja vald,2005,2,,1023
Nõo vald,2005,6,,89
Tartu vald,2005,25,,1272
Tähtvere vald,2005,0,,135
Ülenurme vald,2005,54,,1456
Tallinn,2006,2000,3571,30892
Harku vald,2006,230,772,1639
Jõelähtme vald,2006,15,515,560
Keila vald,2006,11,,257
Kiili vald,2006,32,309,598
Rae vald,2006,546,926,3905
Saku vald,2006,9,119,654
Saue vald,2006,46,329,1493
Viimsi vald,2006,306,664,4332
Pärnu linn,2006,161,3634,2331
Audru vald,2006,6,,191
Paikuse vald,2006,61,,298
Sauga vald,2006,26,,650
Tahkuranna vald,2006,6,,126
Tartu linn,2006,903,,5149
Haaslava vald,2006,1,,116
Luunja vald,2006,56,,1023
Nõo vald,2006,3,,89
Tartu vald,2006,83,,1272
Tähtvere vald,2006,10,,135
Ülenurme vald,2006,56,,1456
Tallinn,2007,3121,3571,30892
Harku vald,2007,127,772,1639
Jõelähtme vald,2007,8,515,560
Keila vald,2007,8,,257
Kiili vald,2007,112,309,598
Rae vald,2007,658,926,3905
Saku vald,2007,15,119,654
Saue vald,2007,146,329,1493
Viimsi vald,2007,832,664,4332
Pärnu linn,2007,306,3634,2331
Audru vald,2007,19,,191
Paikuse vald,2007,10,,298
Sauga vald,2007,237,,650
Tahkuranna vald,2007,6,,126
Tartu linn,2007,499,,5149
Haaslava vald,2007,3,,116
Luunja vald,2007,53,,1023
Nõo vald,2007,8,,89
Tartu vald,2007,77,,1272
Tähtvere vald,2007,8,,135
Ülenurme vald,2007,89,,1456
Tallinn,2008,3026,3571,30892
Harku vald,2008,97,772,1639
Jõelähtme vald,2008,17,515,560
Keila vald,2008,34,,257
Kiili vald,2008,43,309,598
Rae vald,2008,180,926,3905
Saku vald,2008,40,119,654
Saue vald,2008,35,329,1493
Viimsi vald,2008,243,664,4332
Pärnu linn,2008,193,3634,2331
Audru vald,2008,4,,191
Paikuse vald,2008,11,,298
Sauga vald,2008,29,,650
Tahkuranna vald,2008,4,,126
Tartu linn,2008,341,,5149
Haaslava vald,2008,5,,116
Luunja vald,2008,133,,1023
Nõo vald,2008,4,,89
Tartu vald,2008,118,,1272
Tähtvere vald,2008,7,,135
Ülenurme vald,2008,105,,1456
Tallinn,2009,1591,3571,30892
Harku vald,2009,103,772,1639
Jõelähtme vald,2009,23,515,560
Keila vald,2009,49,,257
Kiili vald,2009,25,309,598
Rae vald,2009,202,926,3905
Saku vald,2009,23,119,654
Saue vald,2009,33,329,1493
Viimsi vald,2009,180,664,4332
Pärnu linn,2009,33,3634,2331
Audru vald,2009,9,,191
Paikuse vald,2009,7,,298
Sauga vald,2009,29,,650
Tahkuranna vald,2009,1,,126
Tartu linn,2009,57,,5149
Haaslava vald,2009,4,,116
Luunja vald,2009,24,,1023
Nõo vald,2009,2,,89
Tartu vald,2009,123,,1272
Tähtvere vald,2009,11,,135
Ülenurme vald,2009,47,,1456
Tallinn,2010,1266,3571,30892
Harku vald,2010,60,772,1639
Jõelähtme vald,2010,21,515,560
Keila vald,2010,27,,257
Kiili vald,2010,14,309,598
Rae vald,2010,69,926,3905
Saku vald,2010,20,119,654
Saue vald,2010,74,329,1493
Viimsi vald,2010,96,664,4332
Pärnu linn,2010,35,3634,2331
Audru vald,2010,8,,191
Paikuse vald,2010,9,,298
Sauga vald,2010,10,,650
Tahkuranna vald,2010,1,,126
Tartu linn,2010,178,,5149
Haaslava vald,2010,5,,116
Luunja vald,2010,52,,1023
Nõo vald,2010,5,,89
Tartu vald,2010,18,,1272
Tähtvere vald,2010,33,,135
Ülenurme vald,2010,29,,1456
Tallinn,2011,1021,3571,30892
Harku vald,2011,22,772,1639
Jõelähtme vald,2011,11,515,560
Keila vald,2011,16,,257
Kiili vald,2011,23,309,598
Rae vald,2011,129,926,3905
Saku vald,2011,22,119,654
Saue vald,2011,38,329,1493
Viimsi vald,2011,150,664,4332
Pärnu linn,2011,47,3634,2331
Audru vald,2011,9,,191
Paikuse vald,2011,5,,298
Sauga vald,2011,8,,650
Tahkuranna vald,2011,9,,126
Tartu linn,2011,80,,5149
Haaslava vald,2011,5,,116
Luunja vald,2011,43,,1023
Nõo vald,2011,1,,89
Tartu vald,2011,17,,1272
Tähtvere vald,2011,11,,135
Ülenurme vald,2011,42,,1456
Tallinn,2012,908,3571,30892
Harku vald,2012,50,772,1639
Jõelähtme vald,2012,21,515,560
Keila vald,2012,9,,257
Kiili vald,2012,33,309,598
Rae vald,2012,108,926,3905
Saku vald,2012,34,119,654
Saue vald,2012,15,329,1493
Viimsi vald,2012,152,664,4332
Pärnu linn,2012,41,3634,2331
Audru vald,2012,11,,191
Paikuse vald,2012,6,,298
Sauga vald,2012,43,,650
Tahkuranna vald,2012,6,,126
Tartu linn,2012,94,,5149
Haaslava vald,2012,4,,116
Luunja vald,2012,21,,1023
Nõo vald,2012,5,,89
Tartu vald,2012,43,,1272
Tähtvere vald,2012,2,,135
Ülenurme vald,2012,76,,1456
Tallinn,2013,713,3571,30892
Harku vald,2013,78,772,1639
Jõelähtme vald,2013,16,515,560
Keila vald,2013,10,,257
Kiili vald,2013,11,309,598
Rae vald,2013,143,926,3905
Saku vald,2013,47,119,654
Saue vald,2013,38,329,1493
Viimsi vald,2013,181,664,4332
Pärnu linn,2013,28,3634,2331
Audru vald,2013,10,,191
Paikuse vald,2013,17,,298
Sauga vald,2013,14,,650
Tahkuranna vald,2013,7,,126
Tartu linn,2013,212,,5149
Haaslava vald,2013,5,,116
Luunja vald,2013,55,,1023
Nõo vald,2013,3,,89
