area,year,value,value_total
Eeslinnad kokku,1999,94,18904
Eeslinnad kokku,2000,60,18904
Eeslinnad kokku,2001,47,18904
Eeslinnad kokku,2002,138,18904
Eeslinnad kokku,2003,334,18904
Eeslinnad kokku,2004,503,18904
Eeslinnad kokku,2005,1092,18904
Eeslinnad kokku,2006,1503,18904
Eeslinnad kokku,2007,2416,18904
Eeslinnad kokku,2008,1109,18904
Eeslinnad kokku,2009,895,18904
Eeslinnad kokku,2010,551,18904
Eeslinnad kokku,2011,561,18904
Eeslinnad kokku,2012,639,18904
Eeslinnad kokku,2013,759,18904
Eeslinnad kokku,2014,1069,18904
Eeslinnad kokku,2015,1328,18904
Eeslinnad kokku,2016,1646,18904
Eeslinnad kokku,2017,2085,18904
Eeslinnad kokku,2018,2075,18904
