area,procentage_of_suburbia,value,year,value_total,procentage_of_suburbia_total
Eesti,12%,785,1999,65324,29%
Eesti,8%,720,2000,65324,29%
Eesti,8%,619,2001,65324,29%
Eesti,12%,1135,2002,65324,29%
Eesti,14%,2435,2003,65324,29%
Eesti,16%,3105,2004,65324,29%
Eesti,28%,3928,2005,65324,29%
Eesti,30%,5068,2006,65324,29%
Eesti,34%,7073,2007,65324,29%
Eesti,21%,5300,2008,65324,29%
Eesti,30%,3026,2009,65324,29%
Eesti,24%,2324,2010,65324,29%
Eesti,29%,1918,2011,65324,29%
Eesti,32%,1990,2012,65324,29%
Eesti,37%,2079,2013,65324,29%
Eesti,39%,2756,2014,65324,29%
Eesti,33%,3969,2015,65324,29%
Eesti,35%,4732,2016,65324,29%
Eesti,35%,5890,2017,65324,29%
Eesti,32%,6472,2018,65324,29%
