area,years,value
Tallinn,1660-1919,2.2
Tallinn,1920-1945,9.3
Tallinn,1946-1960,9.7
Tallinn,1961-1990,59.5
Tallinn,1991-2000,4.8
Tallinn,2001+,14.5
Harjumaa (v.a Tallinn),1660-1919,5.3
Harjumaa (v.a Tallinn),1920-1945,6.3
Harjumaa (v.a Tallinn),1946-1960,7.8
Harjumaa (v.a Tallinn),1961-1990,46.5
Harjumaa (v.a Tallinn),1991-2000,7.2
Harjumaa (v.a Tallinn),2001+,26.9
Regionaalsed keskused (v.a Tallinn),1660-1919,5.9
Regionaalsed keskused (v.a Tallinn),1920-1945,7.4
Regionaalsed keskused (v.a Tallinn),1946-1960,14.5
Regionaalsed keskused (v.a Tallinn),1961-1990,62.8
Regionaalsed keskused (v.a Tallinn),1991-2000,4.9
Regionaalsed keskused (v.a Tallinn),2001+,4.5
Väikelinnad ja maa (v.a Harjumaa),1660-1919,9.4
Väikelinnad ja maa (v.a Harjumaa),1920-1945,20
Väikelinnad ja maa (v.a Harjumaa),1946-1960,11.9
Väikelinnad ja maa (v.a Harjumaa),1961-1990,47.6
Väikelinnad ja maa (v.a Harjumaa),1991-2000,5.1
Väikelinnad ja maa (v.a Harjumaa),2001+,6
