area,variable,value
Tallinn,Omanik,77
Tallinn,Üürnik (erasektor),20
Tallinn,Üürnik (avalik sektor),3
Harjumaa (v.a Tallinn),Omanik,88
Harjumaa (v.a Tallinn),Üürnik (erasektor),11
Harjumaa (v.a Tallinn),Üürnik (avalik sektor),1
Regionaalsed keskused (v.a Tallinn),Omanik,79
Regionaalsed keskused (v.a Tallinn),Üürnik (erasektor),19
Regionaalsed keskused (v.a Tallinn),Üürnik (avalik sektor),2
Väikelinnad ja maa (v.a Harjumaa),Omanik,84
Väikelinnad ja maa (v.a Harjumaa),Üürnik (erasektor),15
Väikelinnad ja maa (v.a Harjumaa),Üürnik (avalik sektor),1
