geo/time,year,value
Belgium,1990,387
Belgium,1991,396
Belgium,1992,399
Belgium,1993,407
Belgium,1994,416
Belgium,1995,421
Belgium,1996,427
Belgium,1997,433
Belgium,1998,440
Belgium,1999,448
Belgium,2000,456
Belgium,2001,460
Belgium,2002,462
Belgium,2003,464
Belgium,2004,467
Belgium,2005,468
Belgium,2006,470
Belgium,2007,473
Belgium,2008,477
Belgium,2009,479
Belgium,2010,480
Belgium,2011,488
Belgium,2012,489
Belgium,2013,491
Belgium,2014,494
Belgium,2015,497
Belgium,2016,503
Bulgaria,1990,152
Bulgaria,1991,158
Bulgaria,1992,166
Bulgaria,1993,178
Bulgaria,1994,188
Bulgaria,1995,197
Bulgaria,1996,205
Bulgaria,1997,209
Bulgaria,1998,220
Bulgaria,1999,233
Bulgaria,2000,245
Bulgaria,2001,265
Bulgaria,2002,279
Bulgaria,2003,298
Bulgaria,2004,317
Bulgaria,2005,333
Bulgaria,2006,233
Bulgaria,2007,277
Bulgaria,2008,317
Bulgaria,2009,337
Bulgaria,2010,353
Bulgaria,2011,368
Bulgaria,2012,385
Bulgaria,2013,402
Bulgaria,2014,418
Bulgaria,2015,442
Bulgaria,2016,443
Czechia,1990,234
Czechia,1991,:
Czechia,1992,:
Czechia,1993,274
Czechia,1994,283
Czechia,1995,295
Czechia,1996,310
Czechia,1997,329
Czechia,1998,339
Czechia,1999,335
Czechia,2000,336
Czechia,2001,346
Czechia,2002,358
Czechia,2003,364
Czechia,2004,374
Czechia,2005,387
Czechia,2006,401
Czechia,2007,414
Czechia,2008,424
Czechia,2009,424
Czechia,2010,429
Czechia,2011,436
Czechia,2012,448
Czechia,2013,450
Czechia,2014,459
Czechia,2015,485
Czechia,2016,502
Denmark,1990,309
Denmark,1991,309
Denmark,1992,310
Denmark,1993,311
Denmark,1994,309
Denmark,1995,320
Denmark,1996,330
Denmark,1997,337
Denmark,1998,342
Denmark,1999,346
Denmark,2000,347
Denmark,2001,349
Denmark,2002,351
Denmark,2003,:
Denmark,2004,:
Denmark,2005,:
Denmark,2006,455
Denmark,2007,466
Denmark,2008,468
Denmark,2009,:
Denmark,2010,:
Denmark,2011,:
Denmark,2012,:
Denmark,2013,:
Denmark,2014,:
Denmark,2015,:
Denmark,2016,:
Germany (until 1990 former territory of the FRG),1990,385
Germany (until 1990 former territory of the FRG),1991,390
Germany (until 1990 former territory of the FRG),1992,:
Germany (until 1990 former territory of the FRG),1993,477
Germany (until 1990 former territory of the FRG),1994,488
Germany (until 1990 former territory of the FRG),1995,494
Germany (until 1990 former territory of the FRG),1996,500
Germany (until 1990 former territory of the FRG),1997,504
Germany (until 1990 former territory of the FRG),1998,508
Germany (until 1990 former territory of the FRG),1999,515
Germany (until 1990 former territory of the FRG),2000,532
Germany (until 1990 former territory of the FRG),2001,538
Germany (until 1990 former territory of the FRG),2002,541
Germany (until 1990 former territory of the FRG),2003,546
Germany (until 1990 former territory of the FRG),2004,550
Germany (until 1990 former territory of the FRG),2005,559
