area,year,value
"EL ""Lääs""",1990,357
"EL ""Ida""",1990,170
Eesti,1990,154
"EL ""Lääs""",1991,364
"EL ""Ida""",1991,164
Eesti,1991,168
"EL ""Lääs""",1992,369
"EL ""Ida""",1992,171
Eesti,1992,188
"EL ""Lääs""",1993,381
"EL ""Ida""",1993,189
Eesti,1993,215
"EL ""Lääs""",1994,388
"EL ""Ida""",1994,194
Eesti,1994,233
"EL ""Lääs""",1995,384
"EL ""Ida""",1995,209
Eesti,1995,269
"EL ""Lääs""",1996,396
"EL ""Ida""",1996,224
Eesti,1996,289
"EL ""Lääs""",1997,405
"EL ""Ida""",1997,240
Eesti,1997,307
"EL ""Lääs""",1998,429
"EL ""Ida""",1998,254
Eesti,1998,327
"EL ""Lääs""",1999,440
"EL ""Ida""",1999,265
Eesti,1999,327
"EL ""Lääs""",2000,452
"EL ""Ida""",2000,278
Eesti,2000,333
"EL ""Lääs""",2001,461
"EL ""Ida""",2001,283
Eesti,2001,294
"EL ""Lääs""",2002,466
"EL ""Ida""",2002,292
Eesti,2002,291
"EL ""Lääs""",2003,474
"EL ""Ida""",2003,320
Eesti,2003,318
"EL ""Lääs""",2004,479
"EL ""Ida""",2004,315
Eesti,2004,347
"EL ""Lääs""",2005,489
"EL ""Ida""",2005,334
Eesti,2005,366
"EL ""Lääs""",2006,493
"EL ""Ida""",2006,345
Eesti,2006,413
"EL ""Lääs""",2007,495
"EL ""Ida""",2007,363
Eesti,2007,391
"EL ""Lääs""",2008,500
"EL ""Ida""",2008,381
Eesti,2008,413
"EL ""Lääs""",2009,502
"EL ""Ida""",2009,386
Eesti,2009,409
"EL ""Lääs""",2010,502
"EL ""Ida""",2010,383
Eesti,2010,416
"EL ""Lääs""",2011,506
"EL ""Ida""",2011,390
Eesti,2011,433
"EL ""Lääs""",2012,505
"EL ""Ida""",2012,400
Eesti,2012,456
"EL ""Lääs""",2013,511
"EL ""Ida""",2013,411
Eesti,2013,478
"EL ""Lääs""",2014,515
"EL ""Ida""",2014,403
Eesti,2014,497
"EL ""Lääs""",2015,507
"EL ""Ida""",2015,419
Eesti,2015,514
"EL ""Lääs""",2016,518
"EL ""Ida""",2016,448
Eesti,2016,534
