"Üksuse kood";"Üksus";"Väärtus";
"0614";"Põhja-Tallinna linnaosa";"96";
"0663";"Rakvere linn";"30";
"0735";"Sillamäe linn";"13";
"0747";"Sompa linnaosa";"100";
"1701";"Haavakannu küla";"100";
"1702";"Haavakivi küla";"44";
"1705";"Haavametsa küla";"0";
"1708";"Habaja alevik";"94";
"1711";"Haeska küla";"1";
"1712";"Haeska küla";"0";
"1713";"Hagaste küla";"0";
"1714";"Hageri alevik";"36";
"1771";"Harju-Risti küla";"0";
"1774";"Harku alevik";"100";
"1776";"Harkujärve küla";"69";
"1779";"Harmi küla";"89";
"1782";"Hatu küla";"0";
"1787";"Hausma küla";"41";
"1788";"Heigi küla";"0";
"1794";"Heimtali küla";"100";
"1802";"Helenurme küla";"0";
"1805";"Helda küla";"98";
"1807";"Hellamaa küla";"99";
"1808";"Hellamaa küla";"99";
"1813";"Hellenurme küla";"85";
"1814";"Helmküla";"100";
"1818";"Heltermaa küla";"100";
"1821";"Hendrikumõisa küla";"92";
"1824";"Herjava küla";"100";
"1825";"Hermani küla";"89";
"1826";"Hertu küla";"51";
"1830";"Hiie küla";"56";
"1833";"Hiiemetsa küla";"91";
"1834";"Hiietse küla";"0";
"1835";"Hiiessaare küla";"19";
"1836";"Hiievälja küla";"0";
"1841";"Hilleste küla";"56";
"1846";"Himmaste küla";"88";
"1852";"Hindaste küla";"0";
"1853";"Hindu küla";"69";
"1854";"Hingu küla";"62";
"1866";"Hirla küla";"79";
"1868";"Hirmuküla";"0";
"1871";"Hirmuse küla";"42";
"1875";"Hobulaiu küla";"0";
"1877";"Hirvli küla";"10";
"1885";"Holvandi küla";"70";
"1888";"Holstre küla";"96";
"1889";"Hosby küla";"0";
"1892";"Hosby küla";"0";
"1897";"Hulja alevik";"100";
"2100";"Iru küla";"41";
"2102";"Irta küla";"100";
"2103";"Iruste küla";"100";
"2105";"Irvala küla";"0";
"2106";"Iska küla";"0";
"2112";"Issaku küla";"80";
"2116";"Ivaski küla";"0";
"2119";"Ivaste küla";"0";
"2126";"Jaakna küla";"38";
"2129";"Jaama küla";"0";
"2130";"Jaama küla";"0";
"1715";"Hageri küla";"70";
"1716";"Hagudi alevik";"100";
"1717";"Hagudi küla";"73";
"1720";"Haiba küla";"100";
"1725";"Haimre küla";"97";
"2180";"Jausa küla";"85";
"2192";"Joonuse küla";"0";
"2199";"Jootme küla";"90";
"2215";"Jursi küla";"100";
"2216";"Juula küla";"29";
"2218";"Juula küla";"31";
"2220";"Juuliku küla";"0";
"2223";"Juuru alevik";"98";
"2225";"Jõe küla";"90";
"2227";"Jõeküla";"92";
"2228";"Jõeküla";"0";
"2229";"Jõeküla";"67";
"2230";"Jõeküla";"0";
"2231";"Jõelepa küla";"52";
"2234";"Jõelähtme küla";"94";
"2236";"Jõemetsa küla";"0";
"2241";"Jõepera küla";"0";
"2245";"Jõepere küla";"64";
"2246";"Jõesse küla";"0";
"2248";"Jõesuu küla";"100";
"2249";"Jõetaguse küla";"100";
"2251";"Jõesuu küla";"92";
"2253";"Jõetaguse küla";"24";
"2254";"Jõeääre küla";"0";
"2255";"Jõeääre küla";"0";
"2261";"Jõgeva alevik";"0";
"2262";"Jõgeva linn";"0";
"2266";"Jõgisoo küla";"54";
"2267";"Jõgisoo küla";"72";
"2268";"Jõgisoo küla";"0";
"2270";"Jõhvi linn";"82";
"2271";"Jõhvi küla";"0";
"2274";"Jõiste küla";"0";
"2281";"Jõuga küla";"73";
"2284";"Jõune küla";"78";
"2286";"Jõusa küla";"8";
"2289";"Jõõpre küla";"93";
"2292";"Jööri küla";"63";
"2296";"Jädivere küla";"34";
"2299";"Jägala küla";"67";
"2823";"Kasti küla";"68";
"2824";"Kasti küla";"100";
"2826";"Kastja küla";"0";
"2829";"Kastli küla";"37";
"2831";"Kastmekoja küla";"47";
"2834";"Kastna küla";"68";
"2835";"Kastna küla";"0";
"2837";"Kastolatsi küla";"75";
"2840";"Kastre küla";"0";
"2842";"Võllinge küla";"3";
"2845";"Kasvandu küla";"10";
"2848";"Kata küla";"45";
"2850";"Katase küla";"0";
"2851";"Katku küla";"70";
"2852";"Katsina küla";"0";
"2853";"Katela küla";"100";
"2856";"Kaubi küla";"29";
"2858";"Kauda küla";"83";
"2861";"Kaude küla";"100";
"2868";"Kauksi küla";"98";
"2869";"Kauksi küla";"86";
"2872";"Kaukvere küla";"0";
"2875";"Kauru küla";"73";
"2877";"Kaunissaare küla";"5";
"2878";"Kanissaare küla";"100";
"2879";"Kause küla";"67";
"2881";"Kauste küla";"0";
"2883";"Kausi küla";"0";
"2885";"Kautjala küla";"0";
"2888";"Kavandi küla";"95";
"2891";"Kavandu küla";"0";
"2893";"Kavaru küla";"81";
"2897";"Kavastu küla";"95";
"2900";"Kehtna-Nurme küla";"0";
"2903";"Keava alevik";"100";
"2904";"Kedre küla";"0";
"2906";"Keedika küla";"0";
"2909";"Keelva küla";"79";
"2912";"Keemu küla";"100";
"2916";"Keeri küla";"84";
"2919";"Kehala küla";"77";
"2923";"Lellapere-Nurme küla";"0";
"2924";"Kehtna alevik";"98";
"2925";"Kehra küla";"32";
"2927";"Keibu küla";"0";
"2928";"Kehra linn";"100";
"2930";"Keila-Joa alevik";"100";
"2933";"Kelba küla";"0";
"2934";"Kellamäe küla";"0";
"2939";"Kellassaare küla";"0";
"2941";"Kellavere küla";"80";
"2946";"Kelu küla";"0";
"2949";"Kemba küla";"0";
"2952";"Kenni küla";"0";
"2955";"Keo küla";"0";
