year;variable;value
2003;Sõitjate arv;31.18
2003;Läbisõit;33.47
2004;Sõitjate arv;27.73
2004;Läbisõit;33.42
2005;Sõitjate arv;26.58
2005;Läbisõit;33.19
2006;Sõitjate arv;25.27
2006;Läbisõit;33.13
2007;Sõitjate arv;23.73
2007;Läbisõit;34.20
2008;Sõitjate arv;22.47
2008;Läbisõit;33.40
2009;Sõitjate arv;19.09
2009;Läbisõit;33.00
2010;Sõitjate arv;18.60
2010;Läbisõit;33.20
2011;Sõitjate arv;18.13
2011;Läbisõit;33.30
2012;Sõitjate arv;18.19
2012;Läbisõit;33.50
2013;Sõitjate arv;18.00
2013;Läbisõit;34.10
2014;Sõitjate arv;17.90
2014;Läbisõit;34.90
2015;Sõitjate arv;18.15
2015;Läbisõit;35.70
2016;Sõitjate arv;17.46
2016;Läbisõit;36.30
