year,variable,value
1997,Keskmine põhitöökohale jõudmise aeg (min),
1997,Põhitöökoha keskmine kaugus elukohast (km),
1998,Keskmine põhitöökohale jõudmise aeg (min),23.6
1998,Põhitöökoha keskmine kaugus elukohast (km),7.3
1999,Keskmine põhitöökohale jõudmise aeg (min),22.8
1999,Põhitöökoha keskmine kaugus elukohast (km),7.2
2000,Keskmine põhitöökohale jõudmise aeg (min),22.6
2000,Põhitöökoha keskmine kaugus elukohast (km),7.2
2001,Keskmine põhitöökohale jõudmise aeg (min),23
2001,Põhitöökoha keskmine kaugus elukohast (km),7.6
2002,Keskmine põhitöökohale jõudmise aeg (min),23
2002,Põhitöökoha keskmine kaugus elukohast (km),7.9
2003,Keskmine põhitöökohale jõudmise aeg (min),23.7
2003,Põhitöökoha keskmine kaugus elukohast (km),8.5
2004,Keskmine põhitöökohale jõudmise aeg (min),23.6
2004,Põhitöökoha keskmine kaugus elukohast (km),8.3
2005,Keskmine põhitöökohale jõudmise aeg (min),23.6
2005,Põhitöökoha keskmine kaugus elukohast (km),8.3
2006,Keskmine põhitöökohale jõudmise aeg (min),22.7
2006,Põhitöökoha keskmine kaugus elukohast (km),8.9
2007,Keskmine põhitöökohale jõudmise aeg (min),23.4
2007,Põhitöökoha keskmine kaugus elukohast (km),9.6
2008,Keskmine põhitöökohale jõudmise aeg (min),23
2008,Põhitöökoha keskmine kaugus elukohast (km),9.5
2009,Keskmine põhitöökohale jõudmise aeg (min),22
2009,Põhitöökoha keskmine kaugus elukohast (km),9.5
2010,Keskmine põhitöökohale jõudmise aeg (min),22.1
2010,Põhitöökoha keskmine kaugus elukohast (km),9.8
2011,Keskmine põhitöökohale jõudmise aeg (min),23.1
2011,Põhitöökoha keskmine kaugus elukohast (km),10.2
2012,Keskmine põhitöökohale jõudmise aeg (min),22.7
2012,Põhitöökoha keskmine kaugus elukohast (km),10.1
2013,Keskmine põhitöökohale jõudmise aeg (min),23.3
2013,Põhitöökoha keskmine kaugus elukohast (km),10.5
2014,Keskmine põhitöökohale jõudmise aeg (min),22.7
2014,Põhitöökoha keskmine kaugus elukohast (km),11.2
2015,Keskmine põhitöökohale jõudmise aeg (min),22.6
2015,Põhitöökoha keskmine kaugus elukohast (km),10.3
2016,Keskmine põhitöökohale jõudmise aeg (min),22.8
2016,Põhitöökoha keskmine kaugus elukohast (km),10.6
2017,Keskmine põhitöökohale jõudmise aeg (min),23.2
2017,Põhitöökoha keskmine kaugus elukohast (km),11
