year,variable,value
1997,Jalgsi,29.8
1997,"Jalgratta, mopeedi, mootorrattaga",3.4
1997,Isikliku autoga,19
1997,"Ametiauto, töökoha sõidukiga",9
1997,Ühissõidukiga,34
1997,"Töötab kodus, töötab ja ööbib samas kohas",4.7
1997,Keskmine põhitöökohale jõudmise aeg (min),
1997,Põhitöökoha keskmine kaugus elukohast (km),
1998,Jalgsi,28.9
1998,"Jalgratta, mopeedi, mootorrattaga",4
1998,Isikliku autoga,20.5
1998,"Ametiauto, töökoha sõidukiga",9.7
1998,Ühissõidukiga,33.2
1998,"Töötab kodus, töötab ja ööbib samas kohas",3.7
1998,Keskmine põhitöökohale jõudmise aeg (min),23.6
1998,Põhitöökoha keskmine kaugus elukohast (km),7.3
1999,Jalgsi,28.9
1999,"Jalgratta, mopeedi, mootorrattaga",4.1
1999,Isikliku autoga,21.9
1999,"Ametiauto, töökoha sõidukiga",10.1
1999,Ühissõidukiga,31.3
1999,"Töötab kodus, töötab ja ööbib samas kohas",3.8
1999,Keskmine põhitöökohale jõudmise aeg (min),22.8
1999,Põhitöökoha keskmine kaugus elukohast (km),7.2
2000,Jalgsi,29.2
2000,"Jalgratta, mopeedi, mootorrattaga",3.5
2000,Isikliku autoga,23.2
2000,"Ametiauto, töökoha sõidukiga",9.9
2000,Ühissõidukiga,31.1
2000,"Töötab kodus, töötab ja ööbib samas kohas",3.1
2000,Keskmine põhitöökohale jõudmise aeg (min),22.6
2000,Põhitöökoha keskmine kaugus elukohast (km),7.2
2001,Jalgsi,29.5
2001,"Jalgratta, mopeedi, mootorrattaga",3.4
2001,Isikliku autoga,22.8
2001,"Ametiauto, töökoha sõidukiga",10.7
2001,Ühissõidukiga,30.5
2001,"Töötab kodus, töötab ja ööbib samas kohas",3.1
2001,Keskmine põhitöökohale jõudmise aeg (min),23
2001,Põhitöökoha keskmine kaugus elukohast (km),7.6
2002,Jalgsi,29.7
2002,"Jalgratta, mopeedi, mootorrattaga",3.2
2002,Isikliku autoga,23.9
2002,"Ametiauto, töökoha sõidukiga",10.3
2002,Ühissõidukiga,29.5
2002,"Töötab kodus, töötab ja ööbib samas kohas",3.4
2002,Keskmine põhitöökohale jõudmise aeg (min),23
2002,Põhitöökoha keskmine kaugus elukohast (km),7.9
2003,Jalgsi,27.3
2003,"Jalgratta, mopeedi, mootorrattaga",3.3
2003,Isikliku autoga,25
2003,"Ametiauto, töökoha sõidukiga",10.8
2003,Ühissõidukiga,29.9
2003,"Töötab kodus, töötab ja ööbib samas kohas",3.7
2003,Keskmine põhitöökohale jõudmise aeg (min),23.7
2003,Põhitöökoha keskmine kaugus elukohast (km),8.5
2004,Jalgsi,25.9
2004,"Jalgratta, mopeedi, mootorrattaga",3.1
2004,Isikliku autoga,26.6
2004,"Ametiauto, töökoha sõidukiga",11.7
2004,Ühissõidukiga,29.1
2004,"Töötab kodus, töötab ja ööbib samas kohas",3.6
2004,Keskmine põhitöökohale jõudmise aeg (min),23.6
2004,Põhitöökoha keskmine kaugus elukohast (km),8.3
2005,Jalgsi,24.3
2005,"Jalgratta, mopeedi, mootorrattaga",3
2005,Isikliku autoga,28.2
2005,"Ametiauto, töökoha sõidukiga",11.2
2005,Ühissõidukiga,30.1
2005,"Töötab kodus, töötab ja ööbib samas kohas",3.1
2005,Keskmine põhitöökohale jõudmise aeg (min),23.6
2005,Põhitöökoha keskmine kaugus elukohast (km),8.3
2006,Jalgsi,23.7
2006,"Jalgratta, mopeedi, mootorrattaga",3.3
2006,Isikliku autoga,31.2
2006,"Ametiauto, töökoha sõidukiga",12.1
2006,Ühissõidukiga,27.4
2006,"Töötab kodus, töötab ja ööbib samas kohas",2.4
2006,Keskmine põhitöökohale jõudmise aeg (min),22.7
2006,Põhitöökoha keskmine kaugus elukohast (km),8.9
2007,Jalgsi,21.1
2007,"Jalgratta, mopeedi, mootorrattaga",3.1
2007,Isikliku autoga,34.5
2007,"Ametiauto, töökoha sõidukiga",12.9
2007,Ühissõidukiga,26.2
2007,"Töötab kodus, töötab ja ööbib samas kohas",2.2
2007,Keskmine põhitöökohale jõudmise aeg (min),23.4
2007,Põhitöökoha keskmine kaugus elukohast (km),9.6
2008,Jalgsi,20
2008,"Jalgratta, mopeedi, mootorrattaga",3.2
2008,Isikliku autoga,36.7
2008,"Ametiauto, töökoha sõidukiga",12.8
2008,Ühissõidukiga,24
2008,"Töötab kodus, töötab ja ööbib samas kohas",3.3
2008,Keskmine põhitöökohale jõudmise aeg (min),23
2008,Põhitöökoha keskmine kaugus elukohast (km),9.5
2009,Jalgsi,19.4
2009,"Jalgratta, mopeedi, mootorrattaga",2.9
2009,Isikliku autoga,37.9
2009,"Ametiauto, töökoha sõidukiga",12.8
2009,Ühissõidukiga,22.7
2009,"Töötab kodus, töötab ja ööbib samas kohas",4.4
2009,Keskmine põhitöökohale jõudmise aeg (min),22
2009,Põhitöökoha keskmine kaugus elukohast (km),9.5
2010,Jalgsi,19.3
2010,"Jalgratta, mopeedi, mootorrattaga",2.9
2010,Isikliku autoga,38.1
2010,"Ametiauto, töökoha sõidukiga",12.1
2010,Ühissõidukiga,22.3
2010,"Töötab kodus, töötab ja ööbib samas kohas",5.3
2010,Keskmine põhitöökohale jõudmise aeg (min),22.1
2010,Põhitöökoha keskmine kaugus elukohast (km),9.8
2011,Jalgsi,18.1
2011,"Jalgratta, mopeedi, mootorrattaga",3.1
2011,Isikliku autoga,38.3
2011,"Ametiauto, töökoha sõidukiga",12.4
2011,Ühissõidukiga,22.3
2011,"Töötab kodus, töötab ja ööbib samas kohas",5.8
2011,Keskmine põhitöökohale jõudmise aeg (min),23.1
2011,Põhitöökoha keskmine kaugus elukohast (km),10.2
2012,Jalgsi,18.1
2012,"Jalgratta, mopeedi, mootorrattaga",2.8
2012,Isikliku autoga,37.9
2012,"Ametiauto, töökoha sõidukiga",12.7
2012,Ühissõidukiga,23.1
2012,"Töötab kodus, töötab ja ööbib samas kohas",5.4
2012,Keskmine põhitöökohale jõudmise aeg (min),22.7
2012,Põhitöökoha keskmine kaugus elukohast (km),10.1
2013,Jalgsi,17.4
2013,"Jalgratta, mopeedi, mootorrattaga",2.8
2013,Isikliku autoga,38.1
2013,"Ametiauto, töökoha sõidukiga",13
2013,Ühissõidukiga,22.9
2013,"Töötab kodus, töötab ja ööbib samas kohas",5.7
2013,Keskmine põhitöökohale jõudmise aeg (min),23.3
2013,Põhitöökoha keskmine kaugus elukohast (km),10.5
2014,Jalgsi,16.9
2014,"Jalgratta, mopeedi, mootorrattaga",2.8
2014,Isikliku autoga,39.9
2014,"Ametiauto, töökoha sõidukiga",12.8
2014,Ühissõidukiga,22.6
2014,"Töötab kodus, töötab ja ööbib samas kohas",4.9
2014,Keskmine põhitöökohale jõudmise aeg (min),22.7
2014,Põhitöökoha keskmine kaugus elukohast (km),11.2
2015,Jalgsi,17.4
2015,"Jalgratta, mopeedi, mootorrattaga",3.2
2015,Isikliku autoga,40.3
2015,"Ametiauto, töökoha sõidukiga",12.7
2015,Ühissõidukiga,21.9
2015,"Töötab kodus, töötab ja ööbib samas kohas",4.6
2015,Keskmine põhitöökohale jõudmise aeg (min),22.6
2015,Põhitöökoha keskmine kaugus elukohast (km),10.3
2016,Jalgsi,16.4
2016,"Jalgratta, mopeedi, mootorrattaga",2.9
2016,Isikliku autoga,42.8
2016,"Ametiauto, töökoha sõidukiga",12.1
2016,Ühissõidukiga,20.9
2016,"Töötab kodus, töötab ja ööbib samas kohas",4.9
2016,Keskmine põhitöökohale jõudmise aeg (min),22.8
2016,Põhitöökoha keskmine kaugus elukohast (km),10.6
2017,Jalgsi,16.2
2017,"Jalgratta, mopeedi, mootorrattaga",2.7
2017,Isikliku autoga,43.4
2017,"Ametiauto, töökoha sõidukiga",12.5
2017,Ühissõidukiga,20
2017,"Töötab kodus, töötab ja ööbib samas kohas",5
2017,Keskmine põhitöökohale jõudmise aeg (min),23.2
2017,Põhitöökoha keskmine kaugus elukohast (km),11
