question;answer;pop;value
"Külastanud ajaloolist mälestist või kohta (paleed, kindlused, kirikud, arheoloogilised vaatamisväärsused, aiad jne)";Vähemalt üks kord;EE;71
"Külastanud ajaloolist mälestist või kohta (paleed, kindlused, kirikud, arheoloogilised vaatamisväärsused, aiad jne)";Ei ole;EE;29
"Külastanud ajaloolist mälestist või kohta (paleed, kindlused, kirikud, arheoloogilised vaatamisväärsused, aiad jne)";Ei oska öelda;EE;0
"Osalenud pärimusüritusel (nt toidufestivalil, karnevalil, nukuteatri etendusel, lillefestivalil jne)";Vähemalt üks kord;EE;56
"Osalenud pärimusüritusel (nt toidufestivalil, karnevalil, nukuteatri etendusel, lillefestivalil jne)";Ei ole;EE;44
"Osalenud pärimusüritusel (nt toidufestivalil, karnevalil, nukuteatri etendusel, lillefestivalil jne)";Ei oska öelda;EE;0
"Külastanud muuseumi või galeriid";Vähemalt üks kord;EE;62
"Külastanud muuseumi või galeriid";Ei ole;EE;38
"Külastanud muuseumi või galeriid";Ei oska öelda;EE;0
"Olnud pealtvaataja üritusel, millel esitatakse mõnda traditsioonilist või klassikalist etenduskunsti (nt muusika, sh ooper, tants või teater, rahvamuusika jne)";Vähemalt üks kord;EE;59
"Olnud pealtvaataja üritusel, millel esitatakse mõnda traditsioonilist või klassikalist etenduskunsti (nt muusika, sh ooper, tants või teater, rahvamuusika jne)";Ei ole;EE;40
"Olnud pealtvaataja üritusel, millel esitatakse mõnda traditsioonilist või klassikalist etenduskunsti (nt muusika, sh ooper, tants või teater, rahvamuusika jne)";Ei oska öelda;EE;1
"Külastanud kohta, kus viljeletakse traditsioonilist käsitööd (nt punumine, klaasipuhumine, tarbekunst, tikkimine, pillide valmistamine, keraamika jne)";Vähemalt üks kord;EE;41
"Külastanud kohta, kus viljeletakse traditsioonilist käsitööd (nt punumine, klaasipuhumine, tarbekunst, tikkimine, pillide valmistamine, keraamika jne)";Ei ole;EE;59
"Külastanud kohta, kus viljeletakse traditsioonilist käsitööd (nt punumine, klaasipuhumine, tarbekunst, tikkimine, pillide valmistamine, keraamika jne)";Ei oska öelda;EE;0
"Käinud raamatukogus või arhiivis (nt tutvumas käsikirjadega, dokumentidega, vanaaegsete kaartidega jne)";Vähemalt üks kord;EE;69
"Käinud raamatukogus või arhiivis (nt tutvumas käsikirjadega, dokumentidega, vanaaegsete kaartidega jne)";Ei ole;EE;30
"Käinud raamatukogus või arhiivis (nt tutvumas käsikirjadega, dokumentidega, vanaaegsete kaartidega jne)";Ei oska öelda;EE;1
"Käinud kinos või külastanud filmipärandifestivalim, et vaadata vähemalt 10 aastat tagasi valminud klassikalisi Euroopa filme";Vähemalt üks kord;EE;29
"Käinud kinos või külastanud filmipärandifestivalim, et vaadata vähemalt 10 aastat tagasi valminud klassikalisi Euroopa filme";Ei ole;EE;70
