year,necessity_aka_total_sum_of_applications,total_sum_of_püp_budget,total_sum_of_investments_budget
2004,972 416 €,626 334 €,563 701 €
2005,2 000 371 €,1 150 410 €,1 056 009 €
2006,2 134 612 €,1 214 321 €,1 118 198 €
2007,2 840 324 €,1 034 090 €,944 614 €
2008,3 218 973 €,1 829 790 €,1 645 725 €
2009,4 739 845 €,691 958 €,622 763 €
2010,3 879 382 €,628 924 €,560 486 €
2011,1 868 881 €,622 800 €,560 486 €
2012,2 576 059 €,722 800 €,660 486 €
2013,3 533 264 €,722 800 €,660 486 €
2014,4 659 923 €,722 800 €,660 486 €
2015,3 118 137 €,722 800 €,660 486 €
2016,3 269 810 €,722 800 €,660 486 €
2017,3 443 998 €,722 800 €,660 486 €
2018,4 045 812 €,722 800 €,660 486 €
