year,value,type
2004,972416,"Taotluste kogusumma"
2005,2000371,"Taotluste kogusumma"
2006,2134612,"Taotluste kogusumma"
2007,2840324,"Taotluste kogusumma"
2008,3218973,"Taotluste kogusumma"
2009,4739845,"Taotluste kogusumma"
2010,3879382,"Taotluste kogusumma"
2011,1868881,"Taotluste kogusumma"
2012,2576059,"Taotluste kogusumma"
2013,3533264,"Taotluste kogusumma"
2014,4659923,"Taotluste kogusumma"
2015,3118137,"Taotluste kogusumma"
2016,3269810,"Taotluste kogusumma"
2017,3443998,"Taotluste kogusumma"
2018,4045812,"Taotluste kogusumma"
2004,626334,"PÜPi eelarve kogusumma"
2005,1150410,"PÜPi eelarve kogusumma"
2006,1214321,"PÜPi eelarve kogusumma"
2007,1034090,"PÜPi eelarve kogusumma"
2008,1829790,"PÜPi eelarve kogusumma"
2009,691958,"PÜPi eelarve kogusumma"
2010,628924,"PÜPi eelarve kogusumma"
2011,622800,"PÜPi eelarve kogusumma"
2012,722800,"PÜPi eelarve kogusumma"
2013,722800,"PÜPi eelarve kogusumma"
2014,722800,"PÜPi eelarve kogusumma"
2015,722800,"PÜPi eelarve kogusumma"
2016,722800,"PÜPi eelarve kogusumma"
2017,722800,"PÜPi eelarve kogusumma"
2018,722800,"PÜPi eelarve kogusumma"
