county,location_eng,location_est,value,year
Põlva,county of residence,elukoha maakonnas,8150,2000
Põlva,elsewhere in Estonia,mujal Eestis,764,2000
Põlva,outside Estonia,väljaspool Eestit,31,2000
Valga,county of residence,elukoha maakonnas,9407,2000
Valga,elsewhere in Estonia,mujal Eestis,544,2000
Valga,outside Estonia,väljaspool Eestit,45,2000
Viljandi,county of residence,elukoha maakonnas,16757,2000
Viljandi,elsewhere in Estonia,mujal Eestis,817,2000
Viljandi,outside Estonia,väljaspool Eestit,105,2000
Võru,county of residence,elukoha maakonnas,10933,2000
Võru,elsewhere in Estonia,mujal Eestis,421,2000
Võru,outside Estonia,väljaspool Eestit,50,2000
Põlva,county of residence,elukoha maakonnas,6216,2011
Põlva,elsewhere in Estonia,mujal Eestis,2797,2011
Põlva,outside Estonia,väljaspool Eestit,527,2011
Valga,county of residence,elukoha maakonnas,7375,2011
Valga,elsewhere in Estonia,mujal Eestis,2640,2011
Valga,outside Estonia,väljaspool Eestit,626,2011
Viljandi,county of residence,elukoha maakonnas,13470,2011
Viljandi,elsewhere in Estonia,mujal Eestis,3633,2011
Viljandi,outside Estonia,väljaspool Eestit,1329,2011
Võru,county of residence,elukoha maakonnas,8920,2011
Võru,elsewhere in Estonia,mujal Eestis,2458,2011
Võru,outside Estonia,väljaspool Eestit,817,2011
