iso3,country_name,hdi_2017,hdi_2014,country,epi_current,eco_current
AFG,Afghanistan,0.498,0.491,Afghanistan,37.74,38.4
ALB,Albania,0.785,0.773,Albania,65.46,65.32
DZA,Algeria,0.754,0.747,Algeria,57.18,41.34
AND,Andorra,0.858,0.853,,,
AGO,Angola,0.581,0.564,Angola,37.44,39.88
ATG,Antigua and Barbuda,0.78,0.77,Antigua and Barbuda,59.18,47.61
ARG,Argentina,0.825,0.82,Argentina,59.3,45.58
ARM,Armenia,0.755,0.745,Armenia,62.07,65.56
AUS,Australia,0.939,0.933,Australia,74.12,58.23
AUT,Austria,0.908,0.901,Austria,78.97,74.03
AZE,Azerbaijan,0.757,0.758,Azerbaijan,62.33,71.52
BHS,Bahamas,0.807,0.807,Bahamas,54.99,42.52
BHR,Bahrain,0.846,0.81,Bahrain,55.15,48.41
BGD,Bangladesh,0.608,0.583,Bangladesh,29.56,41.29
BRB,Barbados,0.8,0.796,Barbados,55.76,36.45
BLR,Belarus,0.808,0.807,Belarus,64.98,61.94
BEL,Belgium,0.916,0.909,Belgium,77.38,69.39
BLZ,Belize,0.708,0.706,Belize,57.79,52.93
BEN,Benin,0.515,0.505,Benin,38.17,39.37
BTN,Bhutan,0.612,0.599,Bhutan,47.22,55.18
BOL,Bolivia (Plurinational State of),0.693,0.675,Bolivia,55.98,52.21
BIH,Bosnia and Herzegovina,0.768,0.754,Bosnia and Herzegovina,41.84,27.15
BWA,Botswana,0.717,0.701,Botswana,51.7,61.37
BRA,Brazil,0.759,0.752,Brazil,60.7,56.21
BRN,Brunei Darussalam,0.853,0.853,Brunei Darussalam,63.57,41.52
BGR,Bulgaria,0.813,0.797,Bulgaria,67.85,66.68
BFA,Burkina Faso,0.423,0.405,Burkina Faso,42.83,41.91
BDI,Burundi,0.417,0.421,Burundi,27.43,28.59
CPV,Cabo Verde,0.654,0.644,Cabo Verde,56.94,54.3
KHM,Cambodia,0.582,0.566,Cambodia,43.23,45.51
CMR,Cameroon,0.556,0.543,Cameroon,40.81,41.9
CAN,Canada,0.926,0.918,Canada,72.18,55.29
CAF,Central African Republic,0.367,0.349,Central African Republic,36.42,41.26
TCD,Chad,0.404,0.403,Chad,45.34,47.99
CHL,Chile,0.843,0.833,Chile,57.49,46.66
CHN,China,0.752,0.738,China,50.74,63.42
COL,Colombia,0.747,0.738,Colombia,65.22,61.33
COM,Comoros,0.503,0.501,Comoros,44.24,42.37
COG,Congo,0.606,0.595,Republic of Congo,42.39,56.73
COD,Congo (Democratic Republic of the),0.457,0.436,Dem. Rep. Congo,30.41,37.56
CRI,Costa Rica,0.794,0.78,Costa Rica,67.85,62.13
CIV,Côte d'Ivoire,0.492,0.465,Côte d'Ivoire,45.25,49.05
HRV,Croatia,0.831,0.824,Croatia,65.45,64.39
CUB,Cuba,0.777,0.768,Cuba,63.42,55.2
CYP,Cyprus,0.869,0.856,Cyprus,72.6,62.37
CZE,Czechia,0.888,0.879,Czech Republic,67.68,67.01
DNK,Denmark,0.929,0.928,Denmark,81.6,70.53
DJI,Djibouti,0.476,0.467,Djibouti,40.04,31.47
DMA,Dominica,0.715,0.724,Dominica,59.38,52.67
DOM,Dominican Republic,0.736,0.718,Dominican Republic,64.71,64.61
ECU,Ecuador,0.752,0.742,Ecuador,57.42,47.31
EGY,Egypt,0.696,0.683,Egypt,61.21,56.28
