county,general_area17,general_area17,country_forest17,country_stands17,without_forest,other_forest_land,clear_cut17,country_stands,country_without_forest,other_forest_land,
Harju,432.7,224.7,90.552,82.989,7.563,134.148,681,0.1917933903,0.0174786226,0.3100254218,0.09113255974
Hiiu,103.3,72.8,27.897,25.527,2.37,44.903,245,0.2471151985,0.0229428848,0.4346853824,0.09284287225
Ida-Viru,333.7,213,110.17,97.386,12.784,102.83,1801,0.2918369793,0.03830985915,0.3081510339,0.1312714353
Jõgeva,260.5,128.4,60.819,54.477,6.342,67.581,763,0.2091247601,0.02434548944,0.259428023,0.1164161022
Järva,245.9,126.5,51.541,46.436,5.105,74.959,695,0.1888409923,0.02076047174,0.3048352989,0.1099362564
Lääne,242.5,119,43.481,40.568,2.913,75.519,390,0.1672907216,0.01201237113,0.3114185567,0.07180536383
Lääne-Viru,362.9,194.3,84.633,75.307,9.326,109.667,905,0.2075144668,0.02569853954,0.3021961973,0.1238397493
Põlva,216.4,116.9,46.827,41.45,5.377,70.073,730,0.1915434381,0.02484750462,0.3238123845,0.1297225573
Pärnu,481,262.1,127.331,116.167,11.164,134.769,1221,0.2415114345,0.02320997921,0.2801850312,0.09610302409
Rapla,298,153.7,56.149,50.346,5.803,97.551,775,0.1689463087,0.01947315436,0.327352349,0.1152623843
Saare,293.8,183.5,30.958,28.848,2.11,152.542,246,0.09818924438,0.007181756297,0.5192035398,0.07314198558
Tartu,299.3,133.3,56.672,50.907,5.765,76.628,485,0.1700868694,0.01926161042,0.2560240561,0.1132457226
Valga,204.3,115,48.641,43.28,5.361,66.359,632,0.2118453255,0.02624082232,0.3248115516,0.1238678373
Viljandi,342,164.4,67.935,62.287,5.648,96.465,749,0.182125731,0.01651461988,0.2820614035,0.09067702731
Võru,230.5,123,46.138,41.176,4.962,76.862,415,0.178637744,0.02152711497,0.3334577007,0.1205070915
