group,time_period,value
Valglinnastumine,2000–2006,2746
Valglinnastumine,2006–2012,2793
Valglinnastumine,2012–2018,1603
Ehitusplatside teke,2000–2006,444
Ehitusplatside teke,2006–2012,560
Ehitusplatside teke,2012–2018,1086
Infrastruktuuri arendamine,2000–2006,53
Infrastruktuuri arendamine,2006–2012,558
Infrastruktuuri arendamine,2012–2018,62
"Maardlate, karjääride ja turbaväljade laienemine",2000–2006,719
"Maardlate, karjääride ja turbaväljade laienemine",2006–2012,2604
"Maardlate, karjääride ja turbaväljade laienemine",2012–2018,930
