county,objects,value
Ida-Virumaa,Kaitstavad loodusobjektid RV alal,23%
Ida-Virumaa,RV ala väljaspool kaitsealasid,53%
Ida-Virumaa,Kaitstavad loodusobjektid väljaspool RV ala,1%
Läänemaa,Kaitstavad loodusobjektid RV alal,33%
Läänemaa,RV ala väljaspool kaitsealasid,31%
Läänemaa,Kaitstavad loodusobjektid väljaspool RV ala,2%
Saaremaa,Kaitstavad loodusobjektid RV alal,16%
Saaremaa,RV ala väljaspool kaitsealasid,44%
Saaremaa,Kaitstavad loodusobjektid väljaspool RV ala,6%
Pärnumaa,Kaitstavad loodusobjektid RV alal,26%
Pärnumaa,RV ala väljaspool kaitsealasid,36%
Pärnumaa,Kaitstavad loodusobjektid väljaspool RV ala,3%
Raplamaa,Kaitstavad loodusobjektid RV alal,19%
Raplamaa,RV ala väljaspool kaitsealasid,41%
Raplamaa,Kaitstavad loodusobjektid väljaspool RV ala,1%
Harjumaa,Kaitstavad loodusobjektid RV alal,19%
Harjumaa,RV ala väljaspool kaitsealasid,37%
Harjumaa,Kaitstavad loodusobjektid väljaspool RV ala,3%
Hiiumaa,Kaitstavad loodusobjektid RV alal,23%
Hiiumaa,RV ala väljaspool kaitsealasid,26%
Hiiumaa,Kaitstavad loodusobjektid väljaspool RV ala,10%
Jõgevamaa,Kaitstavad loodusobjektid RV alal,12%
Jõgevamaa,RV ala väljaspool kaitsealasid,42%
Jõgevamaa,Kaitstavad loodusobjektid väljaspool RV ala,2%
Põlvamaa,Kaitstavad loodusobjektid RV alal,10%
Põlvamaa,RV ala väljaspool kaitsealasid,45%
Põlvamaa,Kaitstavad loodusobjektid väljaspool RV ala,1%
Võrumaa,Kaitstavad loodusobjektid RV alal,13%
Võrumaa,RV ala väljaspool kaitsealasid,36%
Võrumaa,Kaitstavad loodusobjektid väljaspool RV ala,4%
Valgamaa,Kaitstavad loodusobjektid RV alal,15%
Valgamaa,RV ala väljaspool kaitsealasid,31%
Valgamaa,Kaitstavad loodusobjektid väljaspool RV ala,6%
Järvamaa,Kaitstavad loodusobjektid RV alal,13%
Järvamaa,RV ala väljaspool kaitsealasid,34%
Järvamaa,Kaitstavad loodusobjektid väljaspool RV ala,2%
Lääne-Virumaa,Kaitstavad loodusobjektid RV alal,15%
Lääne-Virumaa,RV ala väljaspool kaitsealasid,31%
Lääne-Virumaa,Kaitstavad loodusobjektid väljaspool RV ala,1%
Tartumaa,Kaitstavad loodusobjektid RV alal,19%
Tartumaa,RV ala väljaspool kaitsealasid,27%
Tartumaa,Kaitstavad loodusobjektid väljaspool RV ala,1%
Viljandimaa,Kaitstavad loodusobjektid RV alal,16%
Viljandimaa,RV ala väljaspool kaitsealasid,30%
Viljandimaa,Kaitstavad loodusobjektid väljaspool RV ala,1%
