variable;year;value;
isikuid;2008;71;
vaatusi;2008;2245;
isikuid;2009;180;
vaatusi;2009;1850;
isikuid;2010;139;
vaatusi;2010;2326;
isikuid;2011;107;
vaatusi;2011;505;
isikuid;2012;136;
vaatusi;2012;1983;
isikuid;2013;118;
vaatusi;2013;7210;
isikuid;2014;159;
vaatusi;2014;7301;
isikuid;2015;189;
vaatusi;2015;8190;
isikuid;2016;350;
vaatusi;2016;11037;
isikuid;2017;261;
vaatusi;2017;9159;
linnuvaatlejate.arv;2008;196;
linnuvaatluste.arv;2008;8901;
linnuvaatlejate.arv;2009;200;
linnuvaatluste.arv;2009;8624;
linnuvaatlejate.arv;2010;205;
linnuvaatluste.arv;2010;11031;
linnuvaatlejate.arv;2011;244;
linnuvaatluste.arv;2011;20968;
linnuvaatlejate.arv;2012;358;
linnuvaatluste.arv;2012;40923;
linnuvaatlejate.arv;2013;435;
linnuvaatluste.arv;2013;56185;
linnuvaatlejate.arv;2014;510;
linnuvaatluste.arv;2014;66575;
linnuvaatlejate.arv;2015;613;
linnuvaatluste.arv;2015;82418;
linnuvaatlejate.arv;2016;752;
linnuvaatluste.arv;2016;93299;
linnuvaatlejate.arv;2017;587;
linnuvaatluste.arv;2017;100431;
;;;
;;;
;;;
;;;
