group,answer,value
Kõik lapsed,Umbes 1 tund või vähem,16
Kõik lapsed,Umbes 2-3 tundi,29
Kõik lapsed,Umbes 4-5 tundi,29
Kõik lapsed,Umbes 6 tundi või rohkem,20
Kõik lapsed,Ei oska öelda,7
Kõik lapsed,Ei taha öelda,0
Poisid,Umbes 1 tund või vähem,12
Poisid,Umbes 2-3 tundi,30
Poisid,Umbes 4-5 tundi,31
Poisid,Umbes 6 tundi või rohkem,22
Poisid,Ei oska öelda,5
Poisid,Ei taha öelda,0
Tüdrukud,Umbes 1 tund või vähem,19
Tüdrukud,Umbes 2-3 tundi,27
Tüdrukud,Umbes 4-5 tundi,27
Tüdrukud,Umbes 6 tundi või rohkem,17
Tüdrukud,Ei oska öelda,8
Tüdrukud,Ei taha öelda,1
9-10 a,Umbes 1 tund või vähem,32
9-10 a,Umbes 2-3 tundi,36
9-10 a,Umbes 4-5 tundi,21
9-10 a,Umbes 6 tundi või rohkem,6
9-10 a,Ei oska öelda,5
9-10 a,Ei taha öelda,0
11-12 a,Umbes 1 tund või vähem,16
11-12 a,Umbes 2-3 tundi,33
11-12 a,Umbes 4-5 tundi,25
11-12 a,Umbes 6 tundi või rohkem,18
11-12 a,Ei oska öelda,7
11-12 a,Ei taha öelda,1
13-14 a,Umbes 1 tund või vähem,9
13-14 a,Umbes 2-3 tundi,19
13-14 a,Umbes 4-5 tundi,36
13-14 a,Umbes 6 tundi või rohkem,26
13-14 a,Ei oska öelda,8
13-14 a,Ei taha öelda,1
15-17 a,Umbes 1 tund või vähem,6
15-17 a,Umbes 2-3 tundi,25
15-17 a,Umbes 4-5 tundi,34
15-17 a,Umbes 6 tundi või rohkem,28
15-17 a,Ei oska öelda,7
15-17 a,Ei taha öelda,0
Eesti,Umbes 1 tund või vähem,18
Eesti,Umbes 2-3 tundi,29
Eesti,Umbes 4-5 tundi,27
Eesti,Umbes 6 tundi või rohkem,19
Eesti,Ei oska öelda,7
Eesti,Ei taha öelda,0
Vene,Umbes 1 tund või vähem,9
Vene,Umbes 2-3 tundi,28
Vene,Umbes 4-5 tundi,34
Vene,Umbes 6 tundi või rohkem,23
Vene,Ei oska öelda,5
Vene,Ei taha öelda,1
