country,year,value
Eesti,2003,-12.00
Läti,2003,-11.00
Soome,2003,0.00
Eesti,2004,-11.00
Läti,2004,-10.00
Soome,2004,0.00
Eesti,2005,-11.00
Läti,2005,-16.00
Soome,2005,0.00
Eesti,2006,-6.00
Läti,2006,-10.00
Soome,2006,0.00
Eesti,2007,-3.00
Läti,2007,-12.00
Soome,2007,-5.00
Eesti,2008,-4.00
Läti,2008,-7.00
Soome,2008,-4.00
Eesti,2009,-6.00
Läti,2009,-13.00
Soome,2009,0.00
Eesti,2010,-9.00
Läti,2010,-30.00
Soome,2010,0.00
Eesti,2012,-3.00
Läti,2012,-50.00
Soome,2012,0.00
Eesti,2013,-11.00
Läti,2013,-39.00
Soome,2013,0.00
Eesti,2014,-11.00
Läti,2014,-37.00
Soome,2014,0.00
Eesti,2015,-10.00
Läti,2015,-28.00
Soome,2015,0.00
Eesti,2016,-14.00
Läti,2016,-24.00
Soome,2016,0.00
Eesti,2017,-12.00
Läti,2017,-28.00
Soome,2017,-3.00
Eesti,2018,-12.00
Läti,2018,-24.00
Soome,2018,-4.00
