group,variable,value,value_combined
Postimees,"teadlane, ekspert",39.00,37.00
Postimees,ajakirjanik,32.00,35.00
Postimees,poliitik,15.00,12.00
Postimees,kodanik,3.00,7.00
Postimees,kultuuritegelane,6.00,5.00
Postimees,ametnik,4.00,4.00
Postimees,ettevõtja,1.00,3.00
Eesti Päevaleht,"teadlane, ekspert",29.00,37.00
Eesti Päevaleht,ajakirjanik,40.00,35.00
Eesti Päevaleht,poliitik,6.00,12.00
Eesti Päevaleht,kodanik,14.00,7.00
Eesti Päevaleht,kultuuritegelane,3.00,5.00
Eesti Päevaleht,ametnik,3.00,4.00
Eesti Päevaleht,ettevõtja,6.00,3.00
