date,time
2018-12-20,23:55
2018-12-20,0:00
2018-12-20,0:00
2018-12-20,0:00
2018-12-20,0:00
2018-12-20,0:00
2018-12-20,0:00
2018-12-20,0:00
2018-12-19,21:38
2018-12-19,6:01
2018-12-19,0:00
2018-12-19,0:00
2018-12-19,0:00
2018-12-18,23:58
2018-12-18,16:40
2018-12-18,13:13
2018-12-18,12:11
2018-12-18,10:12
2018-12-18,6:30
2018-12-18,0:05
2018-12-18,0:00
2018-12-18,0:00
2018-12-14,12:15
2018-12-14,0:00
2018-12-14,0:00
2018-12-14,0:00
2018-12-14,0:00
2018-12-14,0:00
2018-12-14,0:00
2018-12-14,0:00
2018-12-13,23:55
2018-12-13,23:55
2018-12-13,0:01
2018-12-13,0:00
2018-12-13,0:00
2018-12-13,0:00
2018-12-12,14:05
2018-12-11,2:00
2018-12-11,0:00
2018-12-11,0:00
2018-12-11,0:00
2018-12-10,21:00
2018-12-10,16:00
2018-12-10,16:00
2018-12-10,13:47
2018-12-10,8:32
2018-12-10,8:32
2018-12-10,7:56
2018-12-10,7:30
2018-12-10,7:15
2018-12-10,6:53
2018-12-10,6:30
2018-12-10,0:01
2018-12-10,0:00
2018-12-09,10:02
2018-12-08,12:05
2018-12-08,0:01
2018-12-08,0:00
2018-12-08,0:00
2018-12-07,11:00
2018-12-07,0:00
2018-12-07,0:00
2018-12-07,0:00
2018-12-06,23:55
2018-12-06,18:28
2018-12-06,13:05
2018-12-06,12:15
2018-12-06,7:36
2018-12-06,0:00
2018-12-06,0:00
2018-12-05,18:16
2018-12-05,17:30
2018-12-05,17:04
2018-12-05,11:55
2018-12-05,8:00
2018-12-05,0:10
2018-12-05,0:00
2018-12-04,10:20
2018-12-04,9:00
2018-12-03,0:00
2018-12-02,23:55
2018-12-01,0:00
2018-12-01,0:00
2018-12-01,0:00
2018-12-01,0:00
2018-12-01,0:00
2018-12-01,0:00
2018-12-01,0:00
2018-12-01,0:00
2018-11-30,0:18
2018-11-30,0:00
2018-11-30,0:00
2018-11-29,10:45
2018-11-29,8:00
2018-11-29,2:54
2018-11-29,1:22
2018-11-29,0:10
2018-11-29,0:05
2018-11-29,0:05
2018-11-29,0:02
2018-11-29,0:02
2018-11-29,0:02
2018-11-29,0:00
2018-11-29,0:00
2018-11-29,0:00
2018-11-29,0:00
2018-11-29,0:00
2018-11-29,0:00
2018-11-29,0:00
2018-11-29,0:00
2018-11-29,0:00
2018-11-29,0:00
2018-11-29,0:00
2018-11-29,0:00
2018-11-29,0:00
2018-11-29,0:00
2018-11-29,0:00
2018-11-28,18:37
2018-11-28,14:06
2018-11-28,14:05
2018-11-28,14:00
2018-11-28,11:35
2018-11-28,11:35
2018-11-28,7:24
2018-11-28,6:03
2018-11-28,0:35
2018-11-28,0:00
2018-11-28,0:00
2018-11-28,0:00
2018-11-27,0:06
2018-11-27,0:00
2018-11-27,0:00
2018-11-27,0:00
2018-11-27,0:00
2018-11-26,10:05
2018-11-26,7:35
2018-11-26,0:00
2018-11-24,9:19
2018-11-24,0:00
2018-11-23,0:00
2018-11-23,0:00
2018-11-22,8:20
2018-11-22,0:00
2018-11-22,0:00
2018-11-22,0:00
2018-11-21,22:00
2018-11-21,19:55
2018-11-21,19:55
2018-11-21,17:31
2018-11-21,17:30
2018-11-21,0:01
2018-11-21,0:00
2018-11-21,0:00
2018-11-21,0:00
2018-11-20,23:55
2018-11-20,23:55
2018-11-20,14:34
2018-11-20,14:05
2018-11-20,0:00
2018-11-20,0:00
2018-11-19,14:58
2018-11-18,20:58
2018-11-18,19:37
2018-11-18,18:28
2018-11-18,14:37
2018-11-17,10:30
2018-11-17,10:00
2018-11-17,1:44
2018-11-17,0:17
2018-11-17,0:00
2018-11-16,11:05
2018-11-16,0:00
2018-11-16,0:00
2018-11-16,0:00
2018-11-15,5:44
2018-11-15,0:06
2018-11-15,0:05
2018-11-15,0:00
2018-11-15,0:00
2018-11-15,0:00
2018-11-15,0:00
