"Üksuse kood";"Üksus";"Väärtus";
"0247";"Jõgeva vald";"1073";
"0834";"Türi vald";"1127";
"0486";"Mustvee vald";"1003";
"0255";"Järva vald";"1106";
"0567";"Paide linn";"1147";
"0928";"Väike-Maarja vald";"1046";
"0901";"Vinni vald";"1047";
"0130";"Alutaguse vald";"1121";
"0792";"Tapa vald";"1066";
"0141";"Anija vald";"1193";
"0442";"Lüganuse vald";"1019";
"0661";"Rakvere vald";"1094";
"0272";"Kadrina vald";"1150";
"0514";"Narva-Jõesuu linn";"997";
"0353";"Kuusalu vald";"1298";
"0803";"Toila vald";"1191";
"0251";"Jõhvi vald";"1156";
"0321";"Kohtla-Järve linn";"992";
"0663";"Rakvere linn";"1107";
"0511";"Narva linn";"925";
"0903";"Viru-Nigula vald";"1111";
"0191";"Haljala vald";"1208";
"0735";"Sillamäe linn";"995";
"0424";"Loksa linn";"1006";
"0698";"Rõuge vald";"1084";
"0855";"Valga vald";"983";
"0732";"Setomaa vald";"1011";
"0917";"Võru vald";"1071";
"0142";"Antsla vald";"1014";
"0919";"Võru linn";"1054";
"0824";"Tõrva vald";"1069";
"0557";"Otepää vald";"1089";
"0708";"Räpina vald";"1045";
"0622";"Põlva vald";"1058";
"0284";"Kanepi vald";"1151";
"0480";"Mulgi vald";"1042";
"0171";"Elva vald";"1127";
"0899";"Viljandi vald";"1088";
"0283";"Kambja vald";"1321";
"0528";"Nõo vald";"1175";
"0291";"Kastre vald";"1148";
"0615";"Põhja-Sakala vald";"1106";
"0897";"Viljandi linn";"1110";
"0793";"Tartu linn";"1250";
"0432";"Luunja vald";"1254";
"0796";"Tartu vald";"1244";
"0586";"Peipsiääre vald";"1042";
"0618";"Põltsamaa vald";"1104";
"0714";"Saaremaa vald";"1143";
"0205";"Hiiumaa vald";"1225";
"0478";"Muhu vald";"1231";
"0907";"Vormsi vald";"1309";
"0689";"Ruhnu vald";"1393";
"0441";"Lääne-Nigula vald";"1128";
"0184";"Haapsalu linn";"1116";
"0430";"Lääneranna vald";"1042";
"0431";"Lääne-Harju vald";"1199";
"0624";"Pärnu linn";"1090";
"0303";"Kihnu vald";"1132";
"0503";"Märjamaa vald";"1095";
"0726";"Saue vald";"1499";
"0638";"Põhja-Pärnumaa vald";"1068";
"0198";"Harku vald";"1621";
"0296";"Keila linn";"1411";
"0214";"Häädemeeste vald";"1103";
"0809";"Tori vald";"1084";
"0890";"Viimsi vald";"1711";
"0718";"Saku vald";"1531";
"0668";"Rapla vald";"1193";
"0317";"Kohila vald";"1311";
"0784";"Tallinn";"1348";
"0712";"Saarde vald";"1074";
"0293";"Kehtna vald";"1121";
"0653";"Rae vald";"1704";
"0304";"Kiili vald";"1603";
"0245";"Jõelähtme vald";"1387";
"0338";"Kose vald";"1253";
"0446";"Maardu linn";"1090";
"0651";"Raasiku vald";"1350";
